dt	pCa	dhsl	mode
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001   5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
0.001	5.3	0.0	-2.0
